,ground_truth,predictions
0,4,1
1,4,4
2,0,0
3,0,4
4,3,3
5,0,4
6,4,4
7,0,0
8,4,4
9,4,4
10,5,0
11,0,0
12,4,4
13,2,4
14,4,0
15,4,4
16,3,6
17,3,4
18,4,4
19,0,0
20,0,4
21,4,4
22,0,4
23,3,1
24,4,4
25,3,4
26,4,4
27,5,0
28,3,4
29,4,4
30,4,0
31,0,4
32,0,0
33,0,0
34,4,4
35,7,0
36,4,4
37,4,0
38,4,4
39,0,4
40,4,4
41,4,4
42,0,4
43,3,0
44,4,4
45,4,4
46,1,4
47,4,4
48,6,6
49,4,0
50,0,0
51,1,1
52,4,4
53,4,0
54,4,4
55,3,4
56,4,0
57,2,1
58,3,0
59,6,3
60,1,4
61,2,4
62,6,3
63,4,0
64,6,4
65,2,2
66,3,4
67,0,0
68,4,4
69,4,4
70,4,4
71,4,4
72,4,4
73,0,4
74,0,0
75,0,4
76,0,0
77,4,4
78,7,4
79,0,0
80,0,0
81,0,0
82,4,3
83,4,4
84,4,4
85,4,3
86,4,4
87,0,4
88,0,4
89,4,4
90,6,6
91,4,4
92,4,4
93,1,1
94,0,0
95,0,4
96,0,3
97,0,3
98,0,0
99,0,0
100,7,7
101,4,4
102,3,3
103,3,3
104,1,0
105,4,0
106,0,4
107,1,1
108,4,4
109,4,1
110,0,4
111,0,4
112,3,3
113,6,3
114,1,4
115,1,4
116,0,0
117,0,0
118,3,3
119,4,4
120,6,3
